 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
1,102,62079.912,6752.478,32637,65535,1821.049,3.627,1821.222,3.578,39.670,1814,0,16,9,15.778,8.231,12.371,0.815,65516,-2.435,5.642,100,1.917,0.522,0.995
2,192,56546.219,8798.409,26685,65535,1695.651,8.443,1695.789,8.621,52.224,1686,2,19,13,20.822,11.741,20.531,0.885,59890,-1.285,1.048,100,1.773,0.564,0.975
3,212,57844.241,11462.201,23049,65535,1623.307,14.915,1623.474,15.112,56.729,1613,6,20,17,23.216,11.627,33.415,0.828,64525,-1.465,0.965,100,1.997,0.501,0.957
4,142,51845.289,14414.147,20644,65535,1533.648,33.585,1533.961,33.697,43.890,1526,27,15,13,16.612,10.884,36.533,0.926,58108,-0.681,-0.952,100,1.526,0.655,0.963
5,58,47790.293,14900.814,20203,65535,1680.724,33.086,1680.974,33.285,26.829,1676,29,9,8,9.309,7.933,23.249,1.000,49129,-0.384,-1.199,100,1.173,0.852,0.991
6,255,47243.565,13925.697,17176,65535,1809.418,46.284,1809.824,46.199,58.133,1799,38,20,16,21.399,15.173,23.547,0.948,49567,-0.444,-1.073,100,1.410,0.709,0.975
7,136,58325.368,10695.150,27346,65535,1837.287,45.551,1837.463,45.661,42.775,1830,38,13,14,15.075,11.486,50.750,0.934,64318,-1.507,1.074,100,1.312,0.762,0.968
8,301,32497.468,12584.471,14122,61450,2009.248,48.829,2010.021,48.656,62.873,1998,40,22,18,22.306,17.181,18.496,0.957,31148,0.400,-0.884,100,1.298,0.770,0.973
9,171,57947.520,10721.556,26615,65535,1496.827,53.424,1496.838,53.636,51.599,1487,46,19,15,21.544,10.106,36.911,0.807,64632,-1.358,0.688,100,2.132,0.469,0.945
10,204,51798.500,13832.522,21238,65535,1557.098,58.853,1557.158,59.191,66.892,1547,50,23,15,22.848,11.368,172.251,0.573,56754,-0.748,-0.733,100,2.010,0.498,0.770
11,249,58433.671,10977.616,26186,65535,1476.376,63.476,1476.591,63.574,61.317,1466,54,21,19,25.032,12.665,39.086,0.832,64950,-1.547,1.189,100,1.976,0.506,0.963
12,166,55074.976,9288.870,28163,65505,1675.723,66.452,1676.075,66.461,50.042,1666,60,19,13,20.641,10.240,22.484,0.833,58452,-1.017,0.099,100,2.016,0.496,0.946
13,267,57398.408,9942.289,25807,65535,1632.552,68.657,1632.768,68.705,59.471,1622,61,21,16,21.454,15.846,4.446,0.949,62067,-1.280,0.530,100,1.354,0.739,0.971
14,245,54277.539,12273.779,23717,65510,1875.912,79.476,1876.105,79.608,56.738,1865,72,21,15,20.445,15.258,4.736,0.956,58900,-1.037,-0.156,100,1.340,0.746,0.976
15,180,54547.233,13817.687,20467,65535,1441.767,80.583,1441.959,80.833,49.524,1432,74,19,13,18.815,12.181,8.300,0.922,62034,-1.033,-0.310,100,1.545,0.647,0.957
16,153,57261.797,11484.599,24476,65535,1610.049,85.892,1610.128,86.026,44.746,1602,79,15,13,16.065,12.126,27.428,0.960,63958,-1.252,0.266,100,1.325,0.755,0.971
17,104,50655.317,17290.162,6867,65535,369.625,89.731,369.858,90.129,40.312,364,81,11,16,16.160,8.194,64.444,0.804,59017,-1.064,-0.087,100,1.972,0.507,0.954
18,292,62450.545,6078.996,37330,65535,401.627,93.781,401.710,93.882,61.787,391,85,21,17,21.727,17.112,179.554,0.961,65517,-2.331,4.761,100,1.270,0.788,0.968
19,571,35925.363,13299.208,16006,65503,1854.539,98.670,1854.252,98.563,88.928,1839,86,31,25,34.092,21.325,32.568,0.907,33748,0.528,-0.760,100,1.599,0.626,0.979
20,171,56962.129,11551.565,24804,65535,1647.173,97.447,1647.467,97.526,48.215,1640,89,14,17,16.666,13.064,64.683,0.924,63717,-1.230,0.241,100,1.276,0.784,0.947
21,223,61664.368,7206.126,27998,65535,1327.652,96.944,1327.810,97.045,56.171,1316,90,22,13,21.463,13.229,6.708,0.888,65337,-2.310,4.981,100,1.622,0.616,0.967
22,78,52390.590,14101.008,21710,65535,1357.167,95.000,1357.424,95.265,33.020,1351,91,13,8,13.037,7.618,2.887,0.899,57924,-0.755,-0.842,100,1.711,0.584,0.940
23,151,55769.351,13672.987,20222,65535,1392.964,95.679,1393.380,95.766,49.157,1384,91,20,10,19.376,9.923,13.229,0.785,64491,-1.231,0.144,100,1.953,0.512,0.941
24,242,56151.140,13150.443,20871,65535,1410.157,97.698,1409.898,97.890,61.196,1397,91,25,14,24.971,12.339,18.913,0.812,64622,-1.232,0.138,100,2.024,0.494,0.962
25,265,60648.985,7918.158,31171,65535,439.345,99.379,439.453,99.512,61.694,427,92,24,14,24.265,13.905,179.800,0.875,64928,-1.910,2.903,100,1.745,0.573,0.962
26,146,59419.671,9059.001,31568,65535,1282.397,103.897,1282.564,103.931,45.639,1274,97,16,13,17.755,10.470,26.892,0.881,64650,-1.534,1.339,100,1.696,0.590,0.961
27,165,60844.606,7821.132,37939,65535,1371.100,103.561,1371.165,103.670,47.871,1362,98,18,11,18.934,11.096,11.718,0.905,65441,-1.656,1.391,100,1.706,0.586,0.976
28,585,33831.603,11108.896,16857,64915,2085.374,112.071,2085.379,112.165,87.622,2070,100,30,26,29.937,24.881,20.078,0.957,31577,0.845,-0.073,100,1.203,0.831,0.972
29,235,63140.962,5265.766,42817,65535,1950.232,112.683,1950.302,112.753,58.422,1940,104,20,17,23.181,12.908,37.223,0.865,65535,-2.474,5.173,100,1.796,0.557,0.967
30,661,30702.207,9098.105,16225,64405,2199.016,117.712,2198.725,117.911,93.828,2182,104,32,27,33.667,24.998,26.968,0.944,28651,1.223,1.445,100,1.347,0.742,0.973
31,61,49037.607,15179.725,19997,65535,1532.352,112.205,1532.545,112.492,27.617,1527,108,10,9,9.390,8.271,27.913,1.000,51714,-0.497,-1.096,100,1.135,0.881,0.924
32,114,53491.702,13456.129,22737,65535,1678.044,115.535,1678.156,115.951,42.412,1672,108,12,14,14.236,10.196,95.860,0.796,59533,-0.976,-0.357,100,1.396,0.716,0.874
